,Florida,California,Texas,Pennsylvania,Virginia,New York,the District of Columbia,Arizona,Colorado,Massachusetts,Washington,Illinois,New Jersey,Michigan,Utah,Hawaii,Tennessee,Nevada,Connecticut,Mississippi,Oregon,Minnesota,Georgia,West Virginia,South Carolina,Maine,Maryland,North Carolina,Wyoming,Iowa,New Hampshire,Ohio,Idaho,Alabama,Montana,Nebraska,North Dakota,Indiana,Missouri,Louisiana,Alaska,Vermont,Rhode Island,Arkansas,Delaware,Kansas,Wisconsin,New Mexico,Oklahoma,Kentucky,South Dakota
2001-07-01,120410.15549259406,228432.36499546174,115378.02649711841,108118.14338714023,139400.9015602346,174325.29854775738,185747.71756300083,147587.4042921009,209935.03234482123,240807.4146419601,189765.57664300184,144655.88695495448,197263.47320000664,130463.66462396522,179387.5772004852,210756.36143322126,118880.97394928773,166811.60283762176,184497.87603580471,95999.36056848639,160644.37182497702,150345.60086040923,140558.18132769095,78634.75385997049,123626.11899365306,125940.94126226335,164563.7920203657,137380.63924738785,,98267.61296917847,162173.49367837704,113194.32715657026,131211.81226934,106642.21310792274,,109812.11657444817,,102595.51573753725,107964.85831740004,118666.00251378496,162164.6550861909,133026.87526017553,152792.4072884256,96309.06894795898,161270.06302946855,97012.91759944335,133127.6925178489,,90074.23635590699,95137.69375486183,110736.09945778956
2001-08-01,121487.94382779677,230701.4937934652,115519.59080362257,108670.20763938605,140468.29681908386,175630.3499619329,187908.54131663483,148202.61407699218,211540.9314479898,243979.64600679,190565.95024451494,145787.5853606561,199326.54921449974,131085.4866106145,179661.51234507398,211975.4100465616,119206.17335511847,167758.98865293132,186202.34163926783,96334.88536521948,161273.75579999384,152005.0724263323,141274.11121272136,78925.80578438025,124027.54567743091,127114.65030561622,165826.22894536762,137728.0334638464,,98701.15835046665,164095.24154259646,113611.6128206702,131702.69128303506,106906.82559678091,,109982.51990466192,,102976.11709762474,108611.15807318303,119139.99524123175,163931.65930344383,133821.25052775498,154685.8239983412,96671.69969828198,162019.40577004556,97491.60043910406,133863.44960420846,,90399.37028688635,95533.76249321077,110807.22380838671
2001-09-01,122605.30102825887,232903.89588312103,115668.47737555757,109228.97584406768,141568.73607693217,176906.74722390444,190205.58669722604,148821.83309660674,213049.59237821327,247061.35498402486,191292.75508045196,147086.56153473398,201538.78293393218,131761.58883854843,179915.8817627858,213323.63773197855,119550.76103717521,168736.7563757051,188089.29194333017,96643.58970481741,161863.9628331374,153776.2870898355,141987.50399701743,79173.02879322927,124370.96554004343,128228.46405605444,167119.39277965683,138083.16834913765,,99134.03391416784,166026.4374578893,114037.22061995491,132232.06827300994,107204.14760814003,,110220.44679006755,,103179.4801175128,109232.31206504435,119619.91276102954,165172.66943409425,134623.24346308655,156766.65255785393,96982.75368713419,162816.20932476353,97921.74364405154,134603.40054609088,,90741.05493300296,95874.46244450887,110900.13876640116
2001-10-01,123725.72421833275,234963.1892464712,115824.20947541557,109742.42933863128,142622.30946873463,178250.20089817306,192509.04881644013,149490.89776558054,214367.91470406592,250346.5260842842,192104.34547811572,148580.97324791373,203846.9955880808,132446.08944659922,180183.09905114394,214702.2526193624,119928.97277866415,169729.83142350873,190216.34475425826,97121.37936679255,162432.86776061103,155606.08887352073,142692.8037743734,79438.72371479758,124691.68492709502,129230.0245480588,168352.47173973857,138474.07155557862,,99574.09455833689,167880.43954984436,114445.631400995,132729.94823939065,107545.89670726856,,110449.58770639701,,103490.89011240249,109881.13896927639,120090.4528278139,165998.7943852298,135485.53557155267,159090.5484728521,97182.1228971361,163667.07138425868,98345.18227882047,135322.13583631403,,91061.18502203321,96174.1725040571,111112.78239295694
2001-11-01,124800.25311618496,236897.76605793645,115937.99318803428,110263.81391159333,143712.711613801,179656.56630712943,194707.81414374823,150184.1318049354,215442.20844805133,253573.9420571342,192817.96740160589,149721.2392456736,205958.0503085129,133067.33588902067,180378.38310148162,215926.1421440211,120238.8635282041,170657.928237852,192074.89996983335,97479.6433060325,162939.5427963464,157347.52606745242,143331.9908079872,79599.04984653254,125027.68555236561,130418.44169932856,169559.6910515866,138779.3266663639,,99999.47282071873,169669.03475314853,114814.70042080525,133046.40289705843,107880.98999961438,,110675.21739407671,,103733.86950809798,110572.4505780177,120541.04802832151,166947.15816739286,136510.57968627953,161168.5578376816,97319.43261861142,164552.1781569948,98754.61533682964,136005.7074324227,,91325.13542271953,96460.41676427778,111366.27907147633
2001-12-01,125854.09715167912,238706.84533068188,116029.9171505512,110757.00140644866,144747.63591758706,181149.84768380257,196937.84052996893,150832.31998183252,216286.0068969098,256612.1190234183,193690.18874381724,150564.99390175918,207860.52750509247,133642.28338553073,180466.50784545694,217016.99198580658,120474.58378801988,171618.84839831892,193615.1993218338,97762.07015395451,163475.15869834917,158837.8046077988,143927.76309039153,79709.93820975572,125363.91658517324,131573.1342670751,170785.97034205488,139046.90071290426,,100435.29235172,171441.8272359875,115148.48063653694,133326.10849305475,108129.90344222782,,110921.37564718821,,104065.05063407047,111274.14613333625,120940.9642674445,168016.3174483847,137580.85956868538,163195.39187336815,97400.31146855223,165456.29812709495,99174.6182289264,136662.03304663175,,91560.24054836419,96718.7570853306,111534.79968935843
2002-01-01,126805.60100273944,240168.5103280289,116061.28230188345,111247.70988484786,145718.74449577834,182624.1888080796,199074.9843534229,151374.36607348954,216764.8255259721,259082.70390609294,194427.2353001441,151147.4522459807,209640.79467234467,134236.2242028465,180488.28563507556,217792.46716176075,120643.97208067727,172486.48502952207,194831.88582213662,97901.96885931907,163988.41369429653,160075.25081162248,144434.798713711,79800.40529943437,125619.93280965241,132889.5451081932,172019.11142604658,139271.091011105,,100721.70948677366,173211.69458041395,115430.94097301453,133505.35597729546,108276.94558262876,,111225.42866095349,,104113.3174537663,111914.08042228433,121245.58103956631,168799.91835885658,138697.3865519122,164850.24067205566,97494.14907998331,166379.16959492708,99572.37517150964,137282.60345051772,,91784.31053642214,96933.27499828051,111667.53813510454
2002-02-01,127685.75407756964,241662.87938010957,116148.23281297712,111733.70635692011,146681.4830409798,183962.6769316362,201218.40120213685,151865.1864205468,217194.26437442764,261199.005231046,195145.05713533552,151828.66663930294,211474.08154253685,134745.15149770153,180406.49991191193,218801.52830057032,120827.2559622434,173250.5587891112,195942.83196667858,97949.26503986264,164488.97939443518,161108.06098500846,144923.17919439627,80005.0667178129,125774.1101096151,134218.08045929988,173209.5273044398,139460.74003788666,,100910.28677549376,174910.4502772151,115662.77336199423,133767.226445022,108435.753329216,,111517.30760183255,,104099.95469907175,112522.97441477996,121586.63710814029,169427.08114132934,139802.54383193457,166558.8160889588,97643.83791430567,167306.68147646773,99904.4878990189,137857.2660802819,,92060.62348834898,97146.4759486618,112142.85201363794
2002-03-01,128546.28305169579,243412.00065956663,116366.11845407962,112240.42985689927,147691.35004825096,185097.84182519247,203209.0439796371,152398.24663996985,217808.70377877494,263354.782631155,195775.77722228647,152656.32136601637,213347.17676921867,135192.85400108734,180457.70293511136,219957.965644291,121017.0817604881,174091.3124554086,197224.65424494632,97990.38788109885,164978.77489978584,162060.4503323184,145367.04282636812,80295.1320024618,125908.07009686506,135622.72185440015,174404.7167515503,139641.1913329404,,101006.03412602555,176418.557702794,115885.54912763345,133968.17697961678,108569.5078774197,,111880.2744551658,,103928.32636028274,113047.71562162,121983.22505313676,169949.61924591145,140942.43620509654,168230.1242970264,97833.11860581824,168296.47899892376,100202.31053802015,138381.31601462213,,92321.92697448704,97346.57168019719,112520.4383087958
2002-04-01,129514.53708974783,245772.1797367933,116749.28101250394,112798.0455763265,148832.57990480325,186216.85338100002,205520.12431658374,152990.35192666788,218606.25986481123,265649.4074870806,196352.91971545186,153429.0780098307,215234.66852820152,135520.92251949906,180586.66441883307,221440.55090118153,121188.79831822548,175049.62286072827,198737.5065099557,97948.04788709183,165485.84720621398,162967.7056240859,145840.87459567332,80544.55571702507,126032.72978369,137067.67511426724,175747.05405666842,139759.90333210767,143091.58451985804,101263.81177850145,178019.040757866,116110.75436314913,134186.2649841525,108720.9561804916,,112176.22327845184,,103779.53265823484,113548.11516678211,122450.37898433513,170807.28449686963,142040.44192646217,170148.58210811653,98052.94715797435,169334.31394173883,100479.81658177625,138883.20791500612,134465.56637814868,92598.84911034683,97551.87269841945,112780.25850542904
2002-05-01,130576.90335098044,248527.96429387972,117200.69151527058,113407.33776644157,150007.86661284076,187409.72751662694,208121.63289199234,153591.30078052226,219507.4833610362,268126.86268391105,196858.55265939957,154248.53924110287,217192.5880413542,135855.90018466034,180699.21696950684,222750.70265437246,121380.44511856086,176130.4092062159,200526.15484459224,98058.54155548498,166128.3325730044,164143.49632159932,146324.2325741838,80757.06427664879,126252.78377929889,138443.90534040544,177426.94667802902,139944.18043597022,141819.69675358606,101652.36295783578,179553.6212228227,116377.46758413037,134428.441392721,108913.75132722135,,112587.64906243194,,103815.25436543261,114071.29509839938,123309.13932345544,171577.19643783008,143069.7230205007,172382.31636240476,98337.47790605931,170361.45864065472,100492.3177075115,139412.8598922198,134693.93548200073,92842.02435983559,97741.99003239587,112885.95117708055
2002-06-01,131687.6626205865,251585.5218671083,117706.4356976815,114078.18262212824,151306.01752881613,188794.83969471484,211012.21700526727,154267.070432262,220270.75807151233,270702.3469783498,197311.0582710573,155056.77035489402,219390.89816811742,136226.5359693454,180798.98648318707,224194.670866807,121599.91920261098,177041.79636246982,202566.6047058022,98246.53352790767,166895.92667910535,165349.50491591648,146819.3185344904,80961.06063680169,126488.20833434981,139877.15960632343,179352.51371477498,140137.4709233143,141240.1371734816,102158.92889864168,181269.89538991358,116676.06563047871,134786.2049306852,109153.66637468031,,112914.12579636066,,104080.06807968301,114674.527864502,124122.58554745582,172198.19657211017,144075.50046940075,174859.14211200623,98677.27472197851,171455.4105010033,100422.35707550457,139988.412490727,134795.0924248251,93090.5641070751,97953.54946328315,113245.70711884504
2002-07-01,132818.52013632716,255122.77198449642,118220.51917319391,114828.96832879247,152683.70070326983,190282.69418929843,213838.82494464298,154998.27742337887,221011.91417676784,273615.4005019026,197885.34421682006,156028.5625978223,221859.51686477874,136586.35948336852,180896.04496981887,225957.6208599375,121857.0322212616,177874.55249302866,204739.56438803897,98574.3704580394,167735.8894597644,166663.1129845261,147286.48139096622,81213.0803242809,126824.14592607731,141320.26304122256,181492.48270175923,140401.30736890878,140354.9315101369,102612.50485386532,183000.7919133452,117024.79683472069,135148.3971047375,109432.53738287657,,113273.49023499565,,104440.60469058428,115329.35868573515,124979.99757392883,172756.54179772185,144982.4318480503,177631.86675919793,99071.6011999973,172577.73730032917,100323.42845669061,140592.3884946455,135142.62223722265,93356.19546763926,98216.68578174671,113677.46360108761
